date,open,high,low,close,volume,bar_count,average
20220427  12:38:00,404.855,405.15,404.565,404.84,,,
20220427  12:39:00,404.84,405.335,404.67,405.235,,,
20220427  12:40:00,405.235,405.33,404.755,405.02,,,
20220427  12:41:00,405.02,405.475,404.745,405.295,,,
20220427  12:42:00,405.295,405.51,405.135,405.24,,,
20220427  12:43:00,405.24,406.365,405.235,406.25,,,
20220427  12:44:00,406.25,406.295,405.385,405.445,,,
20220427  12:45:00,405.445,405.82,405.035,405.045,,,
20220427  12:46:00,405.045,405.42,404.24,405.37,,,
20220427  12:47:00,405.37,405.405,404.855,404.855,,,
20220427  12:48:00,404.855,404.95,404.56,404.9,,,
20220427  12:49:00,404.9,404.905,404.295,404.365,,,
20220427  12:50:00,404.365,404.89,404.18,404.34,,,
20220427  12:51:00,404.34,404.415,403.905,403.92,,,
20220427  12:52:00,403.92,404.38,403.86,404.06,,,
20220427  12:53:00,404.06,404.425,403.91,403.945,,,
20220427  12:54:00,403.945,404.485,403.91,404.315,,,
20220427  12:55:00,404.315,404.725,403.695,404.065,,,
20220427  12:56:00,404.065,404.675,403.925,404.305,,,
20220427  12:57:00,404.305,404.305,403.795,403.825,,,
20220427  12:58:00,403.825,403.945,403.72,403.89,,,
20220427  12:59:00,403.89,403.95,403.585,403.925,,,
20220427  13:00:00,403.925,403.935,402.86,403.455,,,
20220427  13:01:00,403.455,403.455,401.795,402.7,,,
20220427  13:02:00,402.7,403.87,402.17,403.54,,,
20220427  13:03:00,403.54,404.13,403.475,403.985,,,
20220427  13:04:00,403.985,405.01,403.985,404.91,,,
20220427  13:05:00,404.91,405.32,404.75,405.005,,,
20220427  13:06:00,405.005,405.02,403.595,403.6,,,
20220427  13:07:00,403.6,404.27,403.6,403.88,,,
20220427  13:08:00,403.88,403.88,402.66,403.095,,,
20220427  13:09:00,403.095,403.35,402.665,402.99,,,
20220427  13:10:00,402.99,403.22,402.295,402.995,,,
20220427  13:11:00,402.995,403.285,402.77,403.05,,,
20220427  13:12:00,403.05,403.16,402.305,402.49,,,
20220427  13:13:00,402.49,402.62,401.81,402.46,,,
20220427  13:14:00,402.46,402.5,401.795,401.955,,,
20220427  13:15:00,401.955,402.16,401.305,401.305,,,
20220427  13:16:00,401.305,401.615,401.24,401.34,,,
20220427  13:17:00,401.34,401.915,401.29,401.675,,,
